report.txt

####################################################################################################################################

-Laps report:
--Laps count: 14803

######################

--Tracks laptimes stats:

| Track_Name                                                      |   Lap_Counter |   Lap_Mean |   Lap_Max |   Lap_Min |
| Boxberg Bosch Test Track                                        |            11 |    45.6545 |     46.9  |     44.4  |
| Barber Motorsports Park                                         |            11 |    98.82   |    110.97 |     93.1  |
| Twin Ring Motegi East                                           |            11 |    99.14   |    106.31 |     95.73 |
| Harewood Hill Climb                                             |            11 |    68.5791 |     70.86 |     65.51 |
| Autodromo Del Levante Bari                                      |            11 |    56.9782 |     61.66 |     53.86 |
| Baskerville Raceway                                             |            11 |    60.7609 |     65.75 |     58.06 |
| Nürburgring Gp (3.1 Km)                                         |            11 |   109.523  |    129.44 |     87.15 |
| Val De Vienne                                                   |            11 |   111.017  |    121.19 |    102.8  |
| Bilster Berg                                                    |            11 |   110.231  |    120.96 |    103.07 |
| Top Gear Rallycross Track                                       |            11 |   125.845  |    147.1  |    112.6  |
| Camden Airport (Post 10/2010)                                   |            11 |   150.279  |    757.56 |     84    |
| Ridge Motorsports Park                                          |            11 |   115.011  |    124.05 |    104.24 |
| Mornay                                                          |            10 |    90.898  |     95.7  |     87.86 |
| Lime Rock Park With Uphill Chicane                              |            10 |    64.694  |     76.78 |     57.6  |
| Aldo Scribante                                                  |            10 |    71.78   |     74.3  |     68.9  |
| Willow Springs - Streets Of Willow Ccw                          |            10 |    82.192  |     92.37 |     75.79 |
| Reno-Fernley Raceway Conf 1 (2.74 M)                            |            10 |   155.603  |    164    |    146    |
| Old Highway                                                     |            10 |    29.812  |     37.8  |     24.85 |
| Eurospeedway Lausitz Dekra Handling                             |            10 |    69.509  |     76.89 |     65.35 |
| Auto Club Speedway                                              |            10 |    54.629  |     60    |     50.94 |
| Daimler-Chrysler Proving Ground                                 |            10 |    78.897  |     84.13 |     65.53 |
| U-Drag                                                          |            10 |    35.91   |     42    |     30.9  |
| Buttonwillow West Loop (Config 24)                              |            10 |    68.109  |     70.86 |     65.18 |
| Autoclub Speedway Sportcar                                      |            10 |   105.793  |    112    |    101.5  |
| Nardo Handling Course                                           |             9 |   165.111  |    176.6  |    149.8  |
| Long Beach Grand Prix Circuit                                   |             9 |    77.2878 |     94.37 |     71.33 |
| Miramas Handling Course                                         |             9 |    86.2222 |     90.8  |     82.5  |
| Bedford Autodrome East Circuit                                  |             9 |    67.4333 |     80.4  |     62.75 |
| Bedford Autodrome Wet Handling Test                             |             9 |    56.0833 |     69.8  |     51.95 |
| Dreux                                                           |             9 |    60.3689 |     70.69 |     54.38 |
| Mittsverigebanan                                                |             9 |    65.4133 |     72    |     60.3  |
| Speed Vegas                                                     |             9 |    76.3933 |     86.19 |     67.78 |
| Croix En Ternois                                                |             9 |    75.1922 |     79.6  |     68.21 |
| Rudskogen (Pre 2012)                                            |             8 |    67.125  |     70    |     64    |
| Folembray                                                       |             8 |    58.5375 |     60.45 |     54.39 |
| Gunsai Touge                                                    |             8 |   237.015  |    242.77 |    232.42 |
| Ncm Motorsports Park                                            |             8 |   122.879  |    130.66 |    118.14 |
| Winterfahrtraining.At Eishandlingkurs                           |             8 |    64.9625 |     72.54 |     60.44 |
| Miller Motorsports Park                                         |             8 |   127.504  |    135.57 |    119.99 |
| Las Vegas Motor Speedway Inside Road Course Short               |             8 |    39.875  |     41.1  |     38.8  |
| Bridgehampton Circuit                                           |             7 |   126.307  |    128.5  |    120.85 |
| Pembrey (Pre 2017)                                              |             7 |    75.9614 |     79.4  |     73.7  |
| Vairano Pro                                                     |             7 |    83.59   |     88.61 |     80.71 |
| Inta Long                                                       |             7 |   103.359  |    104.39 |    101.47 |
| Cadwell Park Club Circuit                                       |             7 |    78.1729 |     81.75 |     75.2  |
| Kotarr                                                          |             7 |    78.3757 |     80.9  |     76.13 |
| Circuit D´ Issoire                                              |             7 |    78.8814 |     83.89 |     73.92 |
| Ascari Race Resort                                              |             7 |   145.673  |    157.16 |    123.54 |
| Gymkhana                                                        |             6 |    45.365  |     46.37 |     43.91 |
| Milford Road Course                                             |             6 |   116.027  |    119.97 |    108    |
| Pferdsfeld                                                      |             6 |    77.6967 |     81.42 |     74.66 |
| Canadian Tire Motorsport Park                                   |             6 |    69.625  |     82.36 |     64.09 |
| Silverstone Stowe                                               |             6 |    57.4883 |     63.2  |     54.6  |
| Sonoma Raceway (Full)                                           |             6 |   106.99   |    121.02 |     98.3  |
| Texas World Speedway                                            |             6 |   117.502  |    130.72 |    105.84 |
| Best Motoring Oval                                              |             6 |    96.2    |    102.41 |     89.21 |
| Inde Motorsports Ranch Configuration 4                          |             6 |    99.3717 |    103.74 |     93.75 |
| Nufenen Pass                                                    |             6 |    88.7017 |     98.67 |     82.06 |
| Autobild Sportscars Snowy Track                                 |             6 |    67.625  |     70    |     62.7  |
| Balocco Alfa Romeo                                              |             6 |   144.415  |    152.56 |    139.25 |
| Las Vegas Motor Speedway Inside Road Course                     |             5 |    57.34   |     58.1  |     56.2  |
| Buttonwillow East Loop                                          |             5 |    58.736  |     60.06 |     57.6  |
| Linas-Montlhery 9181 M                                          |             5 |   284.814  |    298.99 |    261    |
| Auto Motor Und Sport Snowy Handling Course                      |             5 |    73.65   |     83.4  |     63    |
| Aragon Motogp                                                   |             5 |    88.296  |    121.9  |     77.58 |
| Buttonwillow Configuration 1                                    |             5 |   116.794  |    124.29 |    110.69 |
| Bordeaux Merignac                                               |             5 |    56.24   |     57.9  |     54.7  |
| Nardo Handling Course Conf 2 (2.8 Km)                           |             5 |    75      |     78.8  |     71.5  |
| Reno-Fernley Raceway Conf 2 (1.7M)                              |             5 |    94.24   |     95.7  |     92.7  |
| Road America                                                    |             5 |   119.634  |    138.57 |    106.93 |
| Laguna Seca (Pre 1988)                                          |             5 |    86.54   |     89.9  |     80.5  |
| Autobild Sportscars Snowy Track (2018)                          |             4 |    95.9475 |     99.86 |     93.72 |
| Car And Driver Solo Ii Autocross                                |             4 |    61.1025 |     61.97 |     59.72 |
| Area 27                                                         |             4 |   163.5    |    182    |    146    |
| Mallory Park                                                    |             4 |    61.665  |     68    |     52.94 |
| Adams Motorsports Park                                          |             4 |    51.7    |     53.4  |     50.6  |
| Kühtai Bergstraße                                               |             4 |    90.925  |     92.9  |     86.7  |
| Curborough Sprint                                               |             4 |    74.375  |     78.9  |     71.4  |
| Monteblanco Wet Handling                                        |             4 |    54.6125 |     56.8  |     51.37 |
| Papenburg Handling Course                                       |             4 |    76.475  |     78.2  |     74.3  |
| Pembrey (Post 2017)                                             |             4 |    72.8175 |     76.83 |     66.53 |
| Rustavi International Motorpark                                 |             3 |   114.503  |    118.31 |    108.35 |
| Nürburgring Nordschleife (1973-1982)                            |             3 |   534.567  |    594.9  |    420.8  |
| Bedford Autodrome Gt                                            |             3 |   158.8    |    162.81 |    154.21 |
| Solo Ii Autocross Circuit                                       |             3 |    47.9133 |     48.22 |     47.72 |
| Buttonwillow Configuration 1 Ccw                                |             3 |   122.143  |    124.65 |    117.94 |
| Autocar Snake                                                   |             3 |    37.6133 |     38.26 |     36.95 |
| Virginia International Raceway                                  |             3 |   118.097  |    120.96 |    116.3  |
| Silverstone (International)                                     |             3 |    68.6467 |     70.09 |     66.38 |
| Buttonwillow Configuration 26                                   |             3 |   125      |    127    |    122.9  |
| Pacific Raceways                                                |             3 |   101.683  |    115.19 |     92.26 |
| Salzburgring                                                    |             3 |    95.65   |    101.45 |     89.5  |
| Sturup Raceway                                                  |             3 |    75.6667 |     80    |     69    |
| Daytona Road Course                                             |             3 |   115.313  |    125.28 |    108.86 |
| Roebling Road Raceway                                           |             3 |    86.46   |     89.8  |     82.28 |
| Pocono Raceway Road Course Short Counterclockwise (Pre 1985)    |             3 |    82.9    |     83.9  |     82    |
| Rockingham Oval Circuit                                         |             3 |    45.7667 |     46.2  |     45.5  |
| Memphis International Raceway                                   |             3 |    73.3867 |     75.49 |     71.58 |
| Anneau Du Rhin 3.7 Km                                           |             3 |   101.967  |    104.5  |     99.5  |
| Magny Cours                                                     |             3 |   112.113  |    119.5  |    108.15 |
| Circuit De La Sarthe (1987-1989)                                |             3 |   216.407  |    221.48 |    213.03 |
| Hockenheim Gp 1981                                              |             2 |   161.75   |    163.94 |    159.56 |
| Marlboro Motor Raceway                                          |             2 |   106.25   |    107.5  |    105    |
| Forestburn Speed Hill Climb                                     |             2 |    49.865  |     50.09 |     49.64 |
| Thunder Hill Raceway                                            |             2 |    84.6    |     85.38 |     83.82 |
| Tochigi Honda Test Course                                       |             2 |    94.13   |     94.59 |     93.67 |
| Hachi Highland Hillclimb                                        |             2 |    79.935  |     80.06 |     79.81 |
| Tor Poznan                                                      |             2 |   109.05   |    112.2  |    105.9  |
| Autódromo Internacional De Las Américas                         |             2 |    93.835  |     96.28 |     91.39 |
| Algarve International Circuit (Short)                           |             2 |   115.73   |    116.76 |    114.7  |
| Motortrend Ice Handling Course                                  |             2 |    66.1    |     66.8  |     65.4  |
| Indianapolis Motor Speedway Road Course                         |             2 |    92.01   |     94.4  |     89.62 |
| La Chatre                                                       |             2 |    47.975  |     48.07 |     47.88 |
| Moroso Motorsports Park                                         |             2 |    92.1    |     94.8  |     89.4  |
| Los Arcos (Navarra)                                             |             2 |   127.24   |    127.89 |    126.59 |
| Jerez                                                           |             2 |   116.48   |    120.8  |    112.16 |
| Le Mans (Bugatti) (1976-1986)                                   |             2 |   119.09   |    120.18 |    118    |
| Dubai Autodrome National Circuit                                |             2 |    94.455  |     95.31 |     93.6  |
| Willow Springs - Horse Thief Mile                               |             2 |    64.08   |     64.15 |     64.01 |
| Modena Aerautodromo (1950-1972)                                 |             2 |    67.45   |     70.4  |     64.5  |
| European Bridgestone Proving Ground                             |             2 |    67.33   |     68.12 |     66.54 |
| Riverside Raceway                                               |             2 |   159.5    |    167    |    152    |
| Rudskogen (Post 2012)                                           |             2 |   109.5    |    116    |    103    |
| Buttonwillow Configuration 13 Ccw                               |             2 |   118.835  |    120.7  |    116.97 |
| Circuit Chambley                                                |             2 |   130.42   |    141.84 |    119    |
| Dubai Autodrome Gp Circuit                                      |             2 |   134.69   |    137.65 |    131.73 |
| Spring Mountain                                                 |             2 |   106.65   |    107.9  |    105.4  |
